team1_wins,team2_wins,batter_runs,bowler_wicket,runs_extras,toss_decision_encoded
133.0,50.0,4990,16,25,1
59.0,46.0,4021,9,12,1
32.0,50.0,4288,12,16,1
49.0,4.0,4155,7,10,0
33.0,28.0,3996,9,18,0
5.0,4.0,1060,11,18,1
73.0,93.0,3915,9,16,1
57.0,82.0,5273,13,13,1
30.0,51.0,3521,13,34,1
50.0,40.0,3160,13,20,0
63.0,71.0,4787,11,18,0
117.0,0.0,5387,10,32,1
93.0,135.0,4167,16,21,1
65.0,87.0,3016,11,11,1
4.0,6.0,3366,10,28,1
134.0,126.0,3712,12,13,1
78.0,138.0,6465,8,30,1
2.0,25.0,2906,13,22,0
24.0,45.0,4831,15,15,1
131.0,142.0,2379,12,10,1
73.0,128.0,5074,11,23,1
76.0,60.0,4127,13,14,0
73.0,6.0,4979,10,25,1
33.0,129.0,5488,12,17,1
142.0,35.0,5130,9,26,1
23.0,84.0,4528,3,7,0
114.0,77.0,6337,7,20,0
9.0,68.0,7088,4,19,1
16.0,19.0,3826,14,22,1
65.0,75.0,5269,9,18,1
135.0,31.0,4197,11,21,1
14.0,22.0,4313,9,35,0
90.0,65.0,4291,16,22,1
88.0,1.0,5724,13,12,1
116.0,77.0,3685,16,22,0
125.0,26.0,4563,11,14,1
27.0,110.0,4597,15,22,1
9.0,119.0,5755,9,30,1
32.0,21.0,3401,15,12,1
18.0,23.0,4305,6,18,0
15.0,14.0,3990,10,19,1
126.0,17.0,5378,10,21,0
57.0,77.0,3242,10,15,0
11.0,9.0,6214,9,15,0
22.0,3.0,3437,12,4,0
131.0,76.0,3960,12,21,1
3.0,66.0,2641,13,14,1
7.0,8.0,3991,6,14,1
11.0,49.0,4477,11,15,1
48.0,56.0,3997,9,19,0
66.0,76.0,4423,11,16,1
35.0,81.0,3808,14,15,1
81.0,1.0,7722,9,29,1
90.0,125.0,4097,11,23,1
94.0,82.0,4489,10,15,1
11.0,17.0,3808,10,19,0
4.0,6.0,2897,9,24,1
21.0,19.0,3369,12,32,0
43.0,42.0,4390,10,25,0
116.0,152.0,2600,11,17,1
28.0,27.0,2059,11,9,1
89.0,144.0,3170,11,15,1
44.0,92.0,2168,18,14,1
6.0,138.0,4779,10,23,1
23.0,28.0,1465,9,13,1
0.0,1.0,6934,11,13,1
19.0,24.0,4470,10,20,1
4.0,2.0,5364,12,11,1
44.0,53.0,3161,12,22,1
70.0,44.0,6417,7,21,0
37.0,25.0,2571,16,15,1
40.0,32.0,8286,5,9,0
3.0,69.0,4208,8,28,1
133.0,79.0,3803,9,8,1
84.0,68.0,3860,13,24,1
67.0,30.0,3721,13,15,1
88.0,39.0,4383,10,14,0
112.0,100.0,3046,14,8,0
23.0,130.0,5058,9,9,1
37.0,19.0,7158,9,15,1
32.0,25.0,2875,8,22,0
12.0,86.0,4107,16,16,0
8.0,35.0,3670,8,10,0
10.0,62.0,4164,10,20,0
22.0,14.0,3924,18,22,0
74.0,12.0,3325,12,18,0
72.0,58.0,5960,6,7,0
13.0,113.0,3451,12,10,1
13.0,17.0,5602,15,28,1
12.0,75.0,3184,16,24,1
78.0,80.0,4361,10,12,1
37.0,53.0,7183,10,14,1
112.0,10.0,5523,5,13,1
6.0,26.0,2937,11,11,1
61.0,41.0,4969,8,16,1
11.0,105.0,4090,17,17,1
7.0,111.0,2706,14,7,1
65.0,59.0,4368,11,21,1
0.0,79.0,7891,13,15,1
98.0,93.0,4197,13,20,1
83.0,109.0,7283,10,21,0
20.0,22.0,8428,9,21,0
18.0,14.0,3009,14,14,0
151.0,33.0,5322,10,13,1
14.0,114.0,5254,11,20,0
49.0,39.0,3411,12,13,0
56.0,48.0,3292,11,14,1
111.0,127.0,3099,16,21,1
129.0,107.0,6004,9,16,1
31.0,112.0,5433,16,27,1
74.0,83.0,6151,10,19,1
10.0,94.0,5606,12,15,1
41.0,42.0,2682,13,16,1
55.0,63.0,3650,12,14,1
37.0,39.0,4890,12,20,0
26.0,17.0,5965,4,23,1
13.0,19.0,3801,14,28,1
142.0,138.0,3659,14,15,1
37.0,64.0,5983,12,8,1
21.0,22.0,3220,13,16,0
92.0,104.0,4268,8,13,1
110.0,98.0,5838,11,24,1
26.0,28.0,5406,13,24,1
7.0,108.0,2425,13,17,1
30.0,36.0,3957,9,19,0
34.0,32.0,3287,14,18,0
4.0,23.0,5507,16,14,1
59.0,43.0,6967,8,20,0
17.0,11.0,2884,12,11,0
28.0,2.0,3468,13,11,1
20.0,66.0,4863,9,17,0
30.0,33.0,4542,12,18,1
140.0,145.0,5121,6,18,1
57.0,42.0,3268,12,19,0
102.0,113.0,3863,12,13,0
4.0,22.0,4994,9,9,1
61.0,62.0,2126,7,6,1
0.0,0.0,5952,9,17,0
17.0,9.0,5377,10,16,1
51.0,86.0,6283,7,12,1
9.0,33.0,4055,15,18,1
86.0,110.0,3867,15,13,1
59.0,54.0,4607,10,14,0
46.0,64.0,4915,13,2,0
23.0,142.0,5226,12,22,1
37.0,42.0,5742,5,32,0
78.0,63.0,3438,19,14,1
78.0,68.0,5027,7,15,1
15.0,97.0,4050,12,8,1
61.0,8.0,5057,13,17,0
9.0,89.0,4624,11,16,1
